X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-81.40846,29.01511,0,0,249,2,,,,,,,,,,,,,,,,,,,,,,
-81.40859,29.01505,0,0,250,2.46,,,,,,,,,,,,,,,,,,,,,,
-81.4087,29.01502,0,0,251,2.99,,,,,,,,,,,,,,,,,,,,,,
-81.40878,29.01503,0,0,252,3,,,,,,,,,,,,,,,,,,,,,,
-81.40883,29.01505,0,0,253,2.8,,,,,,,,,,,,,,,,,,,,,,
-81.40891,29.01507,0,0,254,2.42,,,,,,,,,,,,,,,,,,,,,,
-81.40897,29.01509,0,0,255,2.88,,,,,,,,,,,,,,,,,,,,,,
-81.40908,29.0151,0,0,256,2.92,,,,,,,,,,,,,,,,,,,,,,
-81.40917,29.01511,0,0,257,2.81,,,,,,,,,,,,,,,,,,,,,,
-81.40924,29.01514,0,0,258,2.49,,,,,,,,,,,,,,,,,,,,,,
-81.40924,29.01514,0,0,259,2.49,,,,,,,,,,,,,,,,,,,,,,
-81.40942,29.01516,0,0,260,2.07,,,,,,,,,,,,,,,,,,,,,,
-81.40953,29.01515,0,0,261,2,,,,,,,,,,,,,,,,,,,,,,
-81.40965,29.01519,0,0,262,2,,,,,,,,,,,,,,,,,,,,,,
-81.4097,29.01523,0,0,263,2,,,,,,,,,,,,,,,,,,,,,,
-81.40975,29.01527,0,0,264,2,,,,,,,,,,,,,,,,,,,,,,
-81.41,29.01529,0,0,265,2,,,,,,,,,,,,,,,,,,,,,,
-81.41005,29.01529,0,0,266,2,,,,,,,,,,,,,,,,,,,,,,
-81.41011,29.0153,0,0,267,2,,,,,,,,,,,,,,,,,,,,,,
-81.41024,29.01529,0,0,268,2,,,,,,,,,,,,,,,,,,,,,,
-81.41031,29.01527,0,0,269,2.4,,,,,,,,,,,,,,,,,,,,,,
-81.41038,29.01526,0,0,270,3,,,,,,,,,,,,,,,,,,,,,,
-81.41045,29.01525,0,0,271,3,,,,,,,,,,,,,,,,,,,,,,
-81.41051,29.01524,0,0,272,3,,,,,,,,,,,,,,,,,,,,,,
-81.41059,29.01522,0,0,273,3,,,,,,,,,,,,,,,,,,,,,,
-81.41064,29.0152,0,0,274,3,,,,,,,,,,,,,,,,,,,,,,
-81.41068,29.01516,0,0,275,3,,,,,,,,,,,,,,,,,,,,,,
